pontoId,lat,lon,pathBTS1,pathBTS2,pathBTS3,pathBTS4,pathBTS5,pathBTS6,taBTS1,taBTS2,taBTS3,taBTS4,taBTS5,taBTS6
2688.0,-8.063877,-34.885971,122.09,138.623333333333,136.99,131.923333333333,141.523333333333,142.59,1.0,2.0,5.0,2.0,0.0,1.0
2193.0,-8.0671,-34.894257,127.59,122.123333333333,126.156666666667,124.056666666667,126.823333333333,92.4566666666667,0.0,1.0,3.0,1.0,0.0,0.0
2358.0,-8.065992,-34.896591,122.24,113.29,127.59,123.29,118.64,100.89,0.0,2.0,3.0,2.0,1.0,0.0
2355.0,-8.066019,-34.893562,123.74,122.24,122.69,125.49,117.19,114.49,0.0,2.0,3.0,2.0,0.0,0.0
1184.0,-8.071,-34.896893,99.5233333333333,118.823333333333,120.056666666667,109.756666666667,129.856666666667,122.19,0.0,1.0,2.0,1.0,1.0,1.0
2453.0,-8.065779,-34.88953,139.39,130.99,135.29,119.023333333333,109.09,134.223333333333,0.0,2.0,4.0,2.0,0.0,1.0
2773.0,-8.063297,-34.897259,129.44,108.84,120.14,98.39,129.29,117.89,1.0,2.0,3.0,2.0,1.0,0.0
463.0,-8.07513,-34.891869,117.59,125.69,129.023333333333,100.756666666667,126.89,138.523333333333,1.0,0.0,3.0,0.0,1.0,2.0
2074.0,-8.068151,-34.890205,128.356666666667,134.156666666667,133.49,118.523333333333,102.99,128.756666666667,0.0,1.0,3.0,1.0,0.0,1.0
207.0,-8.076415,-34.895992,120.74,103.89,132.515,118.29,129.74,138.815,1.0,0.0,2.0,0.0,2.0,2.0
1789.0,-8.069081,-34.89584,100.19,119.59,112.89,96.99,113.09,111.59,0.0,1.0,2.0,1.0,1.0,0.0
1286.0,-8.070599,-34.896725,96.04,115.29,121.44,99.69,125.74,120.09,0.0,1.0,2.0,1.0,1.0,1.0
1723.0,-8.069248,-34.891338,124.69,132.623333333333,129.09,115.89,100.156666666667,132.823333333333,0.0,1.0,3.0,1.0,0.0,1.0
1165.0,-8.071119,-34.891998,103.551764705882,124.060588235294,126.560588235294,111.684117647059,88.9252941176471,141.875294117647,0.0,1.0,3.0,1.0,1.0,1.0
2313.0,-8.066355,-34.893158,132.09,112.756666666667,124.69,129.29,123.323333333333,104.256666666667,0.0,1.0,3.0,1.0,0.0,0.0
1647.0,-8.069455,-34.895123,110.49,126.69,110.14,112.99,110.74,108.34,0.0,1.0,2.0,1.0,1.0,0.0
