pontoId,lat,lon,pathBTS1,pathBTS2,pathBTS3,pathBTS4,pathBTS5,pathBTS6,taBTS1,taBTS2,taBTS3,taBTS4,taBTS5,taBTS6
1750.0,-8.069192,-34.888119,120.356666666667,134.156666666667,132.19,125.356666666667,105.09,131.49,0.0,1.0,4.0,1.0,0.0,1.0
1339.0,-8.070419,-34.893299,98.69,120.723333333333,121.89,105.656666666667,104.99,108.99,0.0,1.0,3.0,1.0,1.0,1.0
2831.0,-8.062543,-34.901402,129.79,126.323333333333,132.323333333333,116.523333333333,123.823333333333,126.49,2.0,3.0,3.0,3.0,2.0,1.0
1060.0,-8.071958,-34.900723,118.723333333333,108.456666666667,123.723333333333,109.156666666667,135.123333333333,125.39,1.0,1.0,1.0,1.0,2.0,1.0
1162.0,-8.071129,-34.89183,103.523333333333,121.09,129.323333333333,100.956666666667,100.59,134.223333333333,0.0,1.0,3.0,1.0,1.0,1.0
1225.0,-8.070791,-34.892506,96.14,125.49,125.34,106.29,110.34,114.44,0.0,1.0,3.0,1.0,1.0,1.0
392.0,-8.075497,-34.893036,113.523333333333,123.89,128.823333333333,111.09,125.356666666667,133.69,1.0,0.0,3.0,0.0,2.0,2.0
2303.0,-8.06644,-34.889587,126.69,124.923333333333,133.723333333333,107.156666666667,105.756666666667,140.99,0.0,2.0,4.0,2.0,0.0,1.0
201.0,-8.076427,-34.89571,117.156666666667,99.89,134.056666666667,120.39,133.256666666667,140.756666666667,1.0,0.0,2.0,0.0,2.0,2.0
180.0,-8.076488,-34.895973,115.89,101.823333333333,126.323333333333,119.59,130.323333333333,140.823333333333,1.0,0.0,2.0,0.0,2.0,2.0
1270.0,-8.070659,-34.892033,103.89,133.056666666667,125.423333333333,109.923333333333,104.556666666667,126.256666666667,0.0,1.0,3.0,1.0,1.0,1.0
742.0,-8.073212,-34.896534,101.14,108.04,119.29,102.89,131.54,123.29,1.0,0.0,2.0,0.0,2.0,1.0
2764.0,-8.063383,-34.886536,122.623333333333,140.723333333333,141.956666666667,138.89,139.823333333333,144.29,1.0,3.0,5.0,3.0,0.0,1.0
