"pontoId","lat","lon","pathBTS1","pathBTS2","pathBTS3","pathBTS4","pathBTS5","pathBTS6","taBTS1","taBTS2","taBTS3","taBTS4","taBTS5","taBTS6"
2818,-8.062787,-34.897289,131.79,105.09,125.656666666667,105.756666666667,128.49,115.99,1,2,3,2,1,0
212,-8.076408,-34.899723,120.59,112.123333333333,124.856666666667,132.023333333333,135.523333333333,141.19,2,1,1,1,2,2
500,-8.074771,-34.890739,118.723333333333,128.556666666667,130.09,98.9566666666667,128.59,146.423333333333,1,0,3,0,1,2
2094,-8.06803,-34.896683,111.49,109.723333333333,108.056666666667,97.3566666666667,118.456666666667,99.7233333333333,0,1,2,1,1,0
1790,-8.069077,-34.900505,123.29,114.34,121.79,126.09,130.09,109.04,1,1,2,1,2,1
865,-8.07269,-34.900665,123.456666666667,116.99,123.956666666667,123.856666666667,138.39,127.123333333333,1,1,1,1,2,2
2337,-8.066168,-34.896164,130.19,111.64,123.89,121.59,115.79,105.29,0,1,3,1,1,0
1887,-8.06881,-34.888927,123.056666666667,132.79,134.29,124.49,101.356666666667,130.49,0,1,4,1,0,1
581,-8.074279,-34.890247,98.04,136.415,120.89,118.49,116.965,134.415,1,0,3,0,1,2
1483,-8.069884,-34.900814,125.023333333333,129.123333333333,116.956666666667,129.09,133.49,123.523333333333,1,1,1,1,2,1
2355,-8.066019,-34.893562,123.74,122.24,122.69,125.49,117.19,114.49,0,2,3,2,0,0
2705,-8.063782,-34.893925,134.256666666667,121.723333333333,126.623333333333,136.056666666667,129.89,119.956666666667,0,2,3,2,1,0
423,-8.075425,-34.896286,126.19,112.39,131.84,119.09,129.14,137.44,1,0,2,0,2,2
522,-8.074603,-34.900303,120.99,109.923333333333,104.423333333333,126.89,141.356666666667,135.29,1,1,1,1,2,2
1664,-8.069396,-34.895741,104.456666666667,119.69,119.823333333333,111.69,110.723333333333,125.923333333333,0,1,2,1,1,1
2100,-8.068026,-34.890564,126.756666666667,132.39,135.656666666667,121.223333333333,102.256666666667,121.79,0,1,3,1,0,1
1306,-8.070537,-34.890694,109.79,116.34,118.59,99.59,90.24,127.09,0,1,3,1,0,1
2343,-8.066115,-34.896904,115.39,104.34,115.64,101.89,124.54,98.74,0,2,3,2,1,0
2815,-8.062807,-34.901356,139.04,123.89,135.09,130.89,120.04,125.69,2,2,3,2,2,1
2518,-8.065325,-34.886417,119.023333333333,134.556666666667,134.19,121.956666666667,119.99,131.823333333333,1,2,4,2,0,1
543,-8.074491,-34.890209,98.0566666666667,136.523333333333,121.123333333333,110.79,124.856666666667,139.39,1,0,3,0,1,2
472,-8.075042,-34.89352,113.223333333333,114.523333333333,120.423333333333,97.49,120.223333333333,132.056666666667,1,0,2,0,2,2
877,-8.072639,-34.896709,98.89,99.24,118.44,91.79,129.44,134.99,1,0,2,0,1,1
1126,-8.071382,-34.891888,108.09,113.84,127.74,91.09,111.09,126.94,0,1,3,1,1,1
2500,-8.065465,-34.89381,129.456666666667,119.956666666667,126.956666666667,131.59,121.656666666667,112.223333333333,0,2,3,2,0,0
2331,-8.066221,-34.893471,120.99,115.94,123.04,120.29,116.94,106.64,0,1,3,1,0,0
2528,-8.065239,-34.886181,127.69,133.29,134.556666666667,128.023333333333,125.323333333333,133.023333333333,1,2,4,2,0,1
2843,-8.062396,-34.887768,136.09,132.623333333333,142.456666666667,141.756666666667,143.723333333333,145.856666666667,1,3,4,3,0,1
793,-8.072953,-34.896408,109.44,100.09,118.34,95.04,114.29,128.54,1,0,2,0,1,1
2248,-8.066819,-34.894852,126.156666666667,123.89,124.556666666667,121.856666666667,123.69,99.5566666666667,0,1,3,1,1,0
2162,-8.06731,-34.892399,132.756666666667,124.49,127.156666666667,117.09,118.023333333333,110.49,0,1,3,1,0,0
2353,-8.066042,-34.888721,118.256666666667,133.69,132.723333333333,124.89,102.823333333333,140.09,0,2,4,2,0,1
116,-8.076987,-34.899506,118.64,109.59,126.24,137.115,135.365,137.865,2,1,1,1,3,2
914,-8.072553,-34.900673,117.656666666667,124.956666666667,125.69,121.256666666667,140.356666666667,128.056666666667,1,1,1,1,2,2
154,-8.076694,-34.896751,117.39,91.2566666666667,130.423333333333,115.256666666667,131.256666666667,138.89,1,0,2,0,2,2
780,-8.073048,-34.89064,105.756666666667,128.956666666667,129.956666666667,112.99,110.056666666667,134.223333333333,1,0,3,0,1,1
1001,-8.072315,-34.892288,109.59,118.99,126.14,95.14,101.19,129.14,0,0,3,0,1,1
163,-8.076615,-34.896362,116.723333333333,95.6233333333333,127.756666666667,116.99,131.456666666667,139.39,1,0,2,0,2,2
266,-8.076185,-34.89502,112.49,113.615,130.265,105.99,127.715,141.34,1,0,2,0,2,2
2762,-8.063394,-34.901417,140.39,133.79,134.39,126.64,133.89,130.84,2,2,2,2,2,1
2238,-8.066879,-34.895733,124.856666666667,123.056666666667,116.323333333333,113.49,124.023333333333,101.19,0,1,3,1,1,0
419,-8.075434,-34.89629,120.056666666667,113.056666666667,136.79,121.223333333333,128.323333333333,137.723333333333,1,0,2,0,2,2
1590,-8.069601,-34.894882,110.44,127.14,118.49,115.84,112.39,105.59,0,1,2,1,1,1
1721,-8.069254,-34.888077,123.823333333333,135.756666666667,131.99,126.756666666667,107.356666666667,127.123333333333,0,1,4,1,0,1
409,-8.075452,-34.892868,115.323333333333,122.256666666667,124.723333333333,107.19,119.856666666667,129.523333333333,1,0,3,0,2,2
2172,-8.067199,-34.89407,125.39,120.39,125.29,120.256666666667,125.323333333333,94.19,0,1,3,1,0,0
392,-8.075497,-34.893036,113.523333333333,123.89,128.823333333333,111.09,125.356666666667,133.69,1,0,3,0,2,2
1648,-8.069453,-34.891014,107.19,136.356666666667,120.823333333333,115.856666666667,97.29,130.656666666667,0,1,3,1,0,1
1090,-8.071692,-34.895218,111.24,111.49,109.34,100.49,118.29,115.24,0,0,2,0,1,1
755,-8.073171,-34.896355,99.49,117.79,100.49,109.99,119.34,126.84,1,0,2,0,2,1
94,-8.077133,-34.899448,123.023333333333,111.223333333333,122.023333333333,133.19,135.323333333333,142.09,2,1,1,1,3,2
180,-8.076488,-34.895973,115.89,101.823333333333,126.323333333333,119.59,130.323333333333,140.823333333333,1,0,2,0,2,2
2718,-8.06369,-34.88615,127.39,135.29,138.34,139.04,141.24,146.09,1,2,5,2,0,1
2719,-8.063684,-34.901447,138.89,126.956666666667,131.756666666667,119.556666666667,130.99,131.923333333333,1,2,2,2,2,1
198,-8.076428,-34.895615,114.915,94.665,132.115,115.515,128.89,136.59,1,0,2,0,2,2
1502,-8.069831,-34.896339,106.223333333333,96.9233333333333,110.956666666667,87.09,121.956666666667,123.756666666667,0,1,2,1,1,1
1637,-8.069477,-34.898659,112.556666666667,110.956666666667,114.99,116.223333333333,114.423333333333,104.59,1,1,2,1,1,1
2626,-8.064293,-34.893597,136.89,117.365,131.215,133.89,124.19,120.265,0,2,3,2,0,0
9,-8.077541,-34.899231,122.923333333333,84.5233333333333,120.523333333333,125.856666666667,133.09,135.99,2,0,1,0,3,2
655,-8.073835,-34.898621,119.356666666667,95.7233333333333,90.5233333333333,103.823333333333,132.056666666667,132.523333333333,1,0,1,0,2,2
1889,-8.068806,-34.896156,105.24,118.29,111.39,101.54,124.84,108.64,0,1,2,1,1,0
2557,-8.065001,-34.885403,119.79,134.39,138.456666666667,126.99,121.056666666667,138.423333333333,1,2,5,2,0,1
1681,-8.069356,-34.896477,107.74,100.94,108.34,90.29,118.54,107.99,0,1,2,1,1,1
742,-8.073212,-34.896534,101.14,108.04,119.29,102.89,131.54,123.29,1,0,2,0,2,1
1410,-8.070077,-34.894051,102.44,125.54,123.39,108.79,107.79,97.59,0,1,3,1,1,1
748,-8.073196,-34.900597,126.29,117.556666666667,128.756666666667,124.423333333333,140.49,132.423333333333,1,1,1,1,2,2
2539,-8.06514,-34.893993,132.29,115.256666666667,126.856666666667,125.523333333333,119.023333333333,114.456666666667,0,2,3,2,0,0
2529,-8.065236,-34.889542,139.323333333333,128.523333333333,133.19,132.023333333333,119.156666666667,134.023333333333,0,2,4,2,0,1
1173,-8.07108,-34.896923,92.4233333333333,117.69,116.256666666667,107.123333333333,126.79,118.59,1,1,2,1,1,1
491,-8.074844,-34.890968,112.665,123.365,124.74,96.79,128.515,145.84,1,0,3,0,1,2
256,-8.076237,-34.899784,126.123333333333,115.456666666667,126.49,138.29,136.723333333333,139.19,2,1,1,1,2,2
271,-8.076163,-34.895157,115.29,102.59,125.29,108.94,132.64,133.64,1,0,2,0,2,2
859,-8.072707,-34.890644,102.956666666667,127.023333333333,123.79,108.956666666667,104.39,129.856666666667,0,1,3,1,1,1
2312,-8.066364,-34.893528,119.39,122.59,131.69,124.24,120.64,106.84,0,1,3,1,0,0
2774,-8.063289,-34.886677,130.556666666667,137.656666666667,141.59,135.723333333333,140.323333333333,147.69,1,3,5,3,0,1
1015,-8.072233,-34.896744,111.49,100.923333333333,117.423333333333,91.0566666666667,126.39,130.456666666667,1,0,2,0,1,1
248,-8.07628,-34.899769,123.423333333333,111.39,123.456666666667,129.656666666667,140.256666666667,143.39,2,1,1,1,2,2
2814,-8.062815,-34.897289,132.032105263158,99.9636842105263,123.263684210526,111.695263157895,125.932105263158,111.179473684211,1,2,3,2,1,0
1129,-8.071365,-34.900772,121.49,119.156666666667,112.89,118.723333333333,129.89,120.19,1,1,1,1,2,1
1113,-8.071494,-34.895386,111.09,109.59,115.423333333333,94.8233333333333,123.356666666667,116.523333333333,0,0,2,0,1,1
654,-8.073852,-34.890415,89.615,137.44,126.14,116.24,117.615,136.59,1,0,3,0,1,2
514,-8.074656,-34.900253,117.99,117.19,101.556666666667,127.623333333333,138.323333333333,139.79,1,1,1,1,2,2
1717,-8.069265,-34.8992,105.19,111.59,119.356666666667,116.69,114.29,102.29,1,1,2,1,2,1
2089,-8.068043,-34.890644,119.556666666667,130.356666666667,127.323333333333,115.49,84.8566666666667,127.556666666667,0,1,3,1,0,1
2896,-8.061419,-34.903168,134.09,116.39,128.356666666667,135.923333333333,131.79,132.823333333333,2,3,3,3,2,1
2826,-8.062634,-34.888382,120.856666666667,124.956666666667,142.29,126.156666666667,132.39,138.09,1,2,4,2,0,1
1249,-8.070719,-34.89222,103.19,125.79,118.89,113.09,107.29,123.823333333333,0,1,3,1,1,1
230,-8.076363,-34.895794,124.956666666667,91.6233333333333,131.69,117.556666666667,126.09,139.356666666667,1,0,2,0,2,2
537,-8.074516,-34.890156,102.856666666667,130.223333333333,124.156666666667,107.49,122.256666666667,141.523333333333,1,0,3,0,1,2
2840,-8.062406,-34.887749,134.19,133.623333333333,142.09,143.89,136.856666666667,145.49,1,3,4,3,0,1
2805,-8.062897,-34.897297,132.456666666667,98.79,125.89,116.723333333333,128.256666666667,116.29,1,2,3,2,1,0
739,-8.073216,-34.896381,93.59,113.04,91.94,104.29,119.44,127.54,1,0,2,0,2,1
